"Stadtteile (9)","Stadtteil","Alter","","evangelisch","römisch-katholisch","sonstige/keine Religion","men","women","deutsch","nichtdeutsch","Deutsch ohne Zuwanderungsgeschichte","Deutsch mit Zuwanderungsgeschichte","nichtdeutsch","Gesamt"
"","","22","22 Jahre",68,39,125,116,116,151,81,89,62,81,232
"","","23","23 Jahre",71,57,158,154,132,179,107,117,62,107,286
"","","24","24 Jahre",84,45,130,138,121,176,83,114,62,83,259
"","","25","25 Jahre",75,58,179,166,146,187,125,125,62,125,312
"","","26","26 Jahre",73,71,171,165,150,195,120,127,68,120,315
"","","27","27 Jahre",96,80,212,212,176,240,148,162,78,148,388
"","","28","28 Jahre",66,79,222,185,182,214,153,134,80,153,367
"","","29","29 Jahre",90,71,211,196,176,221,151,142,79,151,372
"","","30","30 Jahre",93,80,198,201,170,223,148,134,89,148,371
"","","31","31 Jahre",77,70,194,186,155,199,142,126,73,142,341
"","","32","32 Jahre",77,89,189,190,165,223,132,113,110,132,355
"","","33","33 Jahre",97,62,192,198,153,217,134,124,93,134,351
"","","34","34 Jahre",81,73,182,175,161,206,130,116,90,130,336
"","","35","35 Jahre",65,67,157,152,137,185,104,114,71,104,289
"","","36","36 Jahre",73,68,166,149,158,172,135,83,89,135,307
"","","37","37 Jahre",71,53,189,176,137,175,138,109,66,138,313
"","","38","38 Jahre",71,61,178,167,143,184,126,101,83,126,310
"","","39","39 Jahre",65,68,167,146,154,192,108,99,93,108,300
"","","40","40 Jahre",61,53,166,146,134,162,118,79,83,118,280
"","","41","41 Jahre",57,55,189,163,138,180,121,91,89,121,301
"","","42","42 Jahre",59,56,145,146,114,147,113,88,59,113,260
"","","43","43 Jahre",60,46,174,153,127,159,121,86,73,121,280
"","","44","44 Jahre",54,58,166,139,139,156,122,81,75,122,278
"","","45","45 Jahre",60,58,188,171,135,182,124,105,77,124,306
"","","46","46 Jahre",63,74,171,164,144,190,118,111,79,118,308
"","","47","47 Jahre",82,52,176,155,155,203,107,127,76,107,310
"","","48","48 Jahre",95,72,165,168,164,231,101,142,89,101,332
"","","49","49 Jahre",96,71,180,199,148,214,133,147,67,133,347
"","","50","50 Jahre",84,69,174,174,153,221,106,140,81,106,327
"","","51","51 Jahre",115,91,151,180,177,270,87,190,80,87,357
"","","52","52 Jahre",116,83,149,179,169,270,78,195,75,78,348
"","","53","53 Jahre",98,73,152,170,153,247,76,179,68,76,323
"","","54","54 Jahre",101,73,184,193,165,278,80,204,74,80,358
"","","55","55 Jahre",92,82,162,169,167,269,67,194,75,67,336
"","","56","56 Jahre",109,76,159,174,170,277,67,197,80,67,344
"","","57","57 Jahre",96,71,151,158,160,259,59,174,85,59,318
"","","58","58 Jahre",100,83,166,167,182,282,67,188,94,67,349
"","","59","59 Jahre",97,75,127,151,148,246,53,173,73,53,299
"","","60","60 Jahre",106,80,103,157,132,234,55,138,96,55,289
"","","61","61 Jahre",98,79,125,137,165,252,50,151,101,50,302
"","","62","62 Jahre",90,63,101,116,138,211,43,139,72,43,254
"","","63","63 Jahre",102,67,102,124,147,227,44,142,85,44,271
"","","64","64 Jahre",95,72,89,106,150,212,44,122,90,44,256
"","","65","65 Jahre",90,75,86,109,142,207,44,122,85,44,251
"","","66","66 Jahre",72,66,97,97,138,195,40,121,74,40,235
"","","67","67 Jahre",81,65,81,103,124,192,35,117,75,35,227
"","","68","68 Jahre",83,54,88,104,121,184,41,126,58,41,225
"","","69","69 Jahre",97,51,70,99,119,183,35,131,52,35,218
"","","70","70 Jahre",78,43,69,95,95,157,33,118,39,33,190
