stop_id,stop_name,stop_lat,stop_lon
de:08125:547:7:07,"Neuenstadt (K), ZOB Lindenplatz,Neuenstadt a Kocher",49.237168,9.330936
de:08125:550,"Kochertürn, Kirche,Kochertürn",49.245636,9.308235
de:08125:5500,Jagsthausen Rathaus,49.309681,9.469698
de:08125:5501,Jagsthausen Brücke,49.308468,9.464587
de:08125:5502,Jagsthausen Felsenkeller,49.310623,9.469474
de:08125:5503,Jagsthausen Bahnhofstraße,49.306975,9.465000
de:08125:5504,Jagsthausen Bergwaldstraße,49.305171,9.466330
de:08125:551,"Stein (K), Ortsmitte,Stein a Kocher",49.263138,9.299432
de:08125:5515,Olnhausen,49.313224,9.444734
de:08125:5516,Jagsthausen Schule,49.308749,9.470183
de:08125:5520,Widdern Im Klösterle,49.324074,9.422573
de:08125:5521,Widdern Lagerhaus,49.314723,9.415575
de:08125:5522,Widdern Kirche,49.317030,9.419968
de:08125:5523,Widdern Schule,49.315490,9.415404
de:08125:552:0:>Ost,"Neuenstadt (K), Hofgartenstraße,Neuenstadt a Kocher",49.235537,9.341266
de:08125:552:0:>West,"Neuenstadt (K), Hofgartenstraße,Neuenstadt a Kocher",49.235607,9.341320
de:08125:5530,Möckmühl Korb,49.355933,9.397393
de:08125:553:0:>Ost,"Cleversulzbach, Rathaus,Cleversulzbach",49.214551,9.354741
de:08125:553:0:>West,"Cleversulzbach, Rathaus,Cleversulzbach",49.214663,9.354768
de:08125:5540,Unterkessach Kirche,49.345997,9.438033
de:08125:5541,Unterkessach Mühle,49.343661,9.437566
de:08125:5542,Volkshausen Abzweig,49.358338,9.427406
de:08125:5543:0:1,Neuhütten Schoch,49.107890,9.484000
de:08125:5543:0:2,Neuhütten Schoch,49.107890,9.484000
de:08125:554:0:>Nord,"Brettach, Discher,Brettach (Langenbr.)",49.225699,9.381448
de:08125:554:0:>Sued,"Brettach, Discher,Brettach (Langenbr.)",49.225688,9.381331
de:08125:555,"Langenbeutingen, Schule,Langenbeutingen",49.214974,9.412197
de:08125:5550:0:1,Kochersteinsfeld Schafgrabenw.,49.241121,9.406259
de:08125:556,Neudeck,49.207668,9.420426
de:08125:5560:0:1,Maienfels Schweizerhof,49.119639,9.499765
de:08125:5561:0:1,Maienfels Brettach,49.118627,9.520732
de:08125:5562:0:1,Maienfels,49.119933,9.511192
de:08125:557,"Kochersteinsfeld, Lindenplatz,Kochersteinsfeld",49.242470,9.404337
de:08125:5570,Neudeck Abzweig,49.207550,9.423750
de:08125:558,"Neuenstadt (K), Grundschule,Neuenstadt a Kocher",49.237443,9.333792
de:08125:559:0:A,"Neuenstadt (K), Schulzentrum,Neuenstadt a Kocher",49.234329,9.336945
de:08125:559:0:B,"Neuenstadt (K), Schulzentrum,Neuenstadt a Kocher",49.234346,9.336918
de:08125:559:0:C,"Neuenstadt (K), Schulzentrum,Neuenstadt a Kocher",49.234270,9.336990
de:08125:559:0:D,"Neuenstadt (K), Schulzentrum,Neuenstadt a Kocher",49.234247,9.337053
de:08125:559:0:ohne,"Neuenstadt (K), Schulzentrum,Neuenstadt a Kocher",49.234235,9.336936
de:08125:559:0:zA,"Neuenstadt (K), Schulzentrum,Neuenstadt a Kocher",49.234299,9.336945
de:08125:56010:0:1,"Amorbach, Frankenweg,Amorbach (Neckarsulm",49.211506,9.251174
de:08125:56010:0:2,"Amorbach, Frankenweg,Amorbach (Neckarsulm",49.211506,9.251147
de:08125:561:0:>Ost,"Neuenstadt (K), Schafgasse,Neuenstadt a Kocher",49.232692,9.333217
de:08125:561:0:>West,"Neuenstadt (K), Schafgasse,Neuenstadt a Kocher",49.232780,9.333217
de:08125:565:0:>West,"Oedheim, Mäurichweg,Oedheim",49.244030,9.247823
de:08125:566,"Oedheim, Rathaus,Oedheim",49.239748,9.256528
de:08125:567,"Degmarn, Ortsmitte,Degmarn",49.249653,9.288921
de:08125:568,"Oedheim, Schule,Oedheim",49.241578,9.246287
de:08125:569:0:>NSU,"Amorbach, Bordighera-Allee,Amorbach (Neckarsulm",49.211095,9.254184
de:08125:569:0:>Neue,"Amorbach, Bordighera-Allee,Amorbach (Neckarsulm",49.210954,9.254264
de:08125:570:0:nAmor,"Lautenbach, Abzweigung,Lautenbach (Oedheim)",49.212445,9.275150
de:08125:570:0:nDahe,"Lautenbach, Abzweigung,Lautenbach (Oedheim)",49.212345,9.275285
de:08125:571:0:nKoch,"Hagenbach, Mitte,Hagenbach (Kocher)",49.240276,9.226659
de:08125:571:0:vKoch,"Hagenbach, Mitte,Hagenbach (Kocher)",49.240176,9.226740
de:08125:572:0:nHage,"Hagenbach, Abzw. Willenbacher Hof,Hagenbach (Kocher)",49.249014,9.234313
de:08125:572:0:vHage,"Hagenbach, Abzw. Willenbacher Hof,Hagenbach (Kocher)",49.248932,9.234448
de:08125:573:0:>Ost,"Oedheim, Hauptstraße,Oedheim",49.238816,9.252432
